week_start,week_end,region,crop,price
2025-09-01,2025-09-05,Arusha,maize,700
2025-09-01,2025-09-05,Arusha,rice,3000
2025-09-01,2025-09-05,Arusha,beans,2100
2025-09-01,2025-09-05,Arusha,sorghum,1100
2025-09-01,2025-09-05,Arusha,bulrush_millet,
2025-09-01,2025-09-05,Arusha,finger_millet,1200
2025-09-01,2025-09-05,Arusha,round_potato,700
2025-09-01,2025-09-05,Dar es Salaam,maize,1000
2025-09-01,2025-09-05,Dar es Salaam,rice,2600
2025-09-01,2025-09-05,Dar es Salaam,beans,2800
2025-09-01,2025-09-05,Dar es Salaam,sorghum,
2025-09-01,2025-09-05,Dar es Salaam,bulrush_millet,
2025-09-01,2025-09-05,Dar es Salaam,finger_millet,
2025-09-01,2025-09-05,Dar es Salaam,round_potato,900
2025-09-01,2025-09-05,Dodoma,maize,700
2025-09-01,2025-09-05,Dodoma,rice,2500
2025-09-01,2025-09-05,Dodoma,beans,2300
2025-09-01,2025-09-05,Dodoma,sorghum,700
2025-09-01,2025-09-05,Dodoma,bulrush_millet,1100
2025-09-01,2025-09-05,Dodoma,finger_millet,1600
2025-09-01,2025-09-05,Dodoma,round_potato,700
2025-09-01,2025-09-05,Geita,maize,900
2025-09-01,2025-09-05,Geita,rice,2300
2025-09-01,2025-09-05,Geita,beans,3300
2025-09-01,2025-09-05,Geita,sorghum,1600
2025-09-01,2025-09-05,Geita,bulrush_millet,1900
2025-09-01,2025-09-05,Geita,finger_millet,1800
2025-09-01,2025-09-05,Geita,round_potato,800
2025-09-01,2025-09-05,Iringa,maize,600
2025-09-01,2025-09-05,Iringa,rice,2300
2025-09-01,2025-09-05,Iringa,beans,2500
2025-09-01,2025-09-05,Iringa,sorghum,1400
2025-09-01,2025-09-05,Iringa,bulrush_millet,1400
2025-09-01,2025-09-05,Iringa,finger_millet,2300
2025-09-01,2025-09-05,Iringa,round_potato,600
2025-09-01,2025-09-05,Kagera,maize,900
2025-09-01,2025-09-05,Kagera,rice,2000
2025-09-01,2025-09-05,Kagera,beans,2200
2025-09-01,2025-09-05,Kagera,sorghum,1600
2025-09-01,2025-09-05,Kagera,bulrush_millet,1700
2025-09-01,2025-09-05,Kagera,finger_millet,2500
2025-09-01,2025-09-05,Kagera,round_potato,800
2025-09-01,2025-09-05,Katavi,maize,600
2025-09-01,2025-09-05,Katavi,rice,2100
2025-09-01,2025-09-05,Katavi,beans,2600
2025-09-01,2025-09-05,Katavi,sorghum,2000
2025-09-01,2025-09-05,Katavi,bulrush_millet,
2025-09-01,2025-09-05,Katavi,finger_millet,1700
2025-09-01,2025-09-05,Katavi,round_potato,1300
2025-09-01,2025-09-05,Kigoma,maize,700
2025-09-01,2025-09-05,Kigoma,rice,2200
2025-09-01,2025-09-05,Kigoma,beans,2000
2025-09-01,2025-09-05,Kigoma,sorghum,1100
2025-09-01,2025-09-05,Kigoma,bulrush_millet,1100
2025-09-01,2025-09-05,Kigoma,finger_millet,2200
2025-09-01,2025-09-05,Kigoma,round_potato,800
2025-09-01,2025-09-05,Kilimanjaro,maize,900
2025-09-01,2025-09-05,Kilimanjaro,rice,
2025-09-01,2025-09-05,Kilimanjaro,beans,2900
2025-09-01,2025-09-05,Kilimanjaro,sorghum,
2025-09-01,2025-09-05,Kilimanjaro,bulrush_millet,
2025-09-01,2025-09-05,Kilimanjaro,finger_millet,
2025-09-01,2025-09-05,Kilimanjaro,round_potato,800
2025-09-01,2025-09-05,Lindi,maize,900
2025-09-01,2025-09-05,Lindi,rice,2500
2025-09-01,2025-09-05,Lindi,beans,3100
2025-09-01,2025-09-05,Lindi,sorghum,1800
2025-09-01,2025-09-05,Lindi,bulrush_millet,2900
2025-09-01,2025-09-05,Lindi,finger_millet,3000
2025-09-01,2025-09-05,Lindi,round_potato,800
2025-09-01,2025-09-05,Mara,maize,800
2025-09-01,2025-09-05,Mara,rice,2200
2025-09-01,2025-09-05,Mara,beans,1900
2025-09-01,2025-09-05,Mara,sorghum,1600
2025-09-01,2025-09-05,Mara,bulrush_millet,1600
2025-09-01,2025-09-05,Mara,finger_millet,2500
2025-09-01,2025-09-05,Mara,round_potato,1300
2025-09-01,2025-09-05,Mbeya,maize,700
2025-09-01,2025-09-05,Mbeya,rice,2200
2025-09-01,2025-09-05,Mbeya,beans,1900
2025-09-01,2025-09-05,Mbeya,sorghum,
2025-09-01,2025-09-05,Mbeya,bulrush_millet,
2025-09-01,2025-09-05,Mbeya,finger_millet,
2025-09-01,2025-09-05,Mbeya,round_potato,
2025-09-01,2025-09-05,Morogoro,maize,700
2025-09-01,2025-09-05,Morogoro,rice,2000
2025-09-01,2025-09-05,Morogoro,beans,2400
2025-09-01,2025-09-05,Morogoro,sorghum,1400
2025-09-01,2025-09-05,Morogoro,bulrush_millet,
2025-09-01,2025-09-05,Morogoro,finger_millet,2000
2025-09-01,2025-09-05,Morogoro,round_potato,600
2025-09-01,2025-09-05,Mtwara,maize,700
2025-09-01,2025-09-05,Mtwara,rice,2400
2025-09-01,2025-09-05,Mtwara,beans,2200
