week_start,week_end,region,crop,price
2025-07-07,2025-07-11,Arusha,maize,800
2025-07-07,2025-07-11,Arusha,rice,2900
2025-07-07,2025-07-11,Arusha,beans,2100
2025-07-07,2025-07-11,Arusha,sorghum,1200
2025-07-07,2025-07-11,Arusha,bulrush_millet,900
2025-07-07,2025-07-11,Arusha,finger_millet,2200
2025-07-07,2025-07-11,Arusha,round_potato,700
2025-07-07,2025-07-11,Dar es Salaam,maize,1100
2025-07-07,2025-07-11,Dar es Salaam,rice,2500
2025-07-07,2025-07-11,Dar es Salaam,beans,3000
2025-07-07,2025-07-11,Dar es Salaam,sorghum,1600
2025-07-07,2025-07-11,Dar es Salaam,bulrush_millet,1100
2025-07-07,2025-07-11,Dar es Salaam,finger_millet,2900
2025-07-07,2025-07-11,Dar es Salaam,round_potato,1000
2025-07-07,2025-07-11,Dodoma,maize,700
2025-07-07,2025-07-11,Dodoma,rice,2700
2025-07-07,2025-07-11,Dodoma,beans,2600
2025-07-07,2025-07-11,Dodoma,sorghum,700
2025-07-07,2025-07-11,Dodoma,bulrush_millet,
2025-07-07,2025-07-11,Dodoma,finger_millet,
2025-07-07,2025-07-11,Dodoma,round_potato,900
2025-07-07,2025-07-11,Geita,maize,800
2025-07-07,2025-07-11,Geita,rice,2300
2025-07-07,2025-07-11,Geita,beans,3200
2025-07-07,2025-07-11,Geita,sorghum,1500
2025-07-07,2025-07-11,Geita,bulrush_millet,1900
2025-07-07,2025-07-11,Geita,finger_millet,1800
2025-07-07,2025-07-11,Geita,round_potato,1000
2025-07-07,2025-07-11,Iringa,maize,600
2025-07-07,2025-07-11,Iringa,rice,2200
2025-07-07,2025-07-11,Iringa,beans,2500
2025-07-07,2025-07-11,Iringa,sorghum,1400
2025-07-07,2025-07-11,Iringa,bulrush_millet,1300
2025-07-07,2025-07-11,Iringa,finger_millet,
2025-07-07,2025-07-11,Iringa,round_potato,600
2025-07-07,2025-07-11,Kagera,maize,1000
2025-07-07,2025-07-11,Kagera,rice,2300
2025-07-07,2025-07-11,Kagera,beans,2200
2025-07-07,2025-07-11,Kagera,sorghum,1700
2025-07-07,2025-07-11,Kagera,bulrush_millet,1700
2025-07-07,2025-07-11,Kagera,finger_millet,2800
2025-07-07,2025-07-11,Kagera,round_potato,900
2025-07-07,2025-07-11,Katavi,maize,
2025-07-07,2025-07-11,Katavi,rice,
2025-07-07,2025-07-11,Katavi,beans,
2025-07-07,2025-07-11,Katavi,sorghum,
2025-07-07,2025-07-11,Katavi,bulrush_millet,
