week_start,week_end,region,crop,price
2025-09-15,2025-09-19,Arusha,maize,700
2025-09-15,2025-09-19,Arusha,rice,3000
2025-09-15,2025-09-19,Arusha,beans,2100
2025-09-15,2025-09-19,Arusha,sorghum,1100
2025-09-15,2025-09-19,Arusha,bulrush_millet,
2025-09-15,2025-09-19,Arusha,finger_millet,1200
2025-09-15,2025-09-19,Arusha,round_potato,600
2025-09-15,2025-09-19,Dar es Salaam,maize,800
2025-09-15,2025-09-19,Dar es Salaam,rice,2500
2025-09-15,2025-09-19,Dar es Salaam,beans,2500
2025-09-15,2025-09-19,Dar es Salaam,sorghum,1300
2025-09-15,2025-09-19,Dar es Salaam,bulrush_millet,1200
2025-09-15,2025-09-19,Dar es Salaam,finger_millet,2600
2025-09-15,2025-09-19,Dar es Salaam,round_potato,800
2025-09-15,2025-09-19,Dodoma,maize,700
2025-09-15,2025-09-19,Dodoma,rice,2200
2025-09-15,2025-09-19,Dodoma,beans,2500
2025-09-15,2025-09-19,Dodoma,sorghum,800
2025-09-15,2025-09-19,Dodoma,bulrush_millet,800
2025-09-15,2025-09-19,Dodoma,finger_millet,1400
2025-09-15,2025-09-19,Dodoma,round_potato,600
2025-09-15,2025-09-19,Geita,maize,900
2025-09-15,2025-09-19,Geita,rice,2400
2025-09-15,2025-09-19,Geita,beans,2400
2025-09-15,2025-09-19,Geita,sorghum,1700
2025-09-15,2025-09-19,Geita,bulrush_millet,1900
2025-09-15,2025-09-19,Geita,finger_millet,1500
2025-09-15,2025-09-19,Geita,round_potato,600
2025-09-15,2025-09-19,Iringa,maize,600
2025-09-15,2025-09-19,Iringa,rice,2300
2025-09-15,2025-09-19,Iringa,beans,2400
2025-09-15,2025-09-19,Iringa,sorghum,1400
2025-09-15,2025-09-19,Iringa,bulrush_millet,1500
2025-09-15,2025-09-19,Iringa,finger_millet,2300
2025-09-15,2025-09-19,Iringa,round_potato,600
2025-09-15,2025-09-19,Kagera,maize,900
2025-09-15,2025-09-19,Kagera,rice,2300
2025-09-15,2025-09-19,Kagera,beans,2200
2025-09-15,2025-09-19,Kagera,sorghum,1700
2025-09-15,2025-09-19,Kagera,bulrush_millet,1600
2025-09-15,2025-09-19,Kagera,finger_millet,2500
2025-09-15,2025-09-19,Kagera,round_potato,900
2025-09-15,2025-09-19,Katavi,maize,600
2025-09-15,2025-09-19,Katavi,rice,2200
2025-09-15,2025-09-19,Katavi,beans,2200
2025-09-15,2025-09-19,Katavi,sorghum,1900
2025-09-15,2025-09-19,Katavi,bulrush_millet,
2025-09-15,2025-09-19,Katavi,finger_millet,1800
2025-09-15,2025-09-19,Katavi,round_potato,1200
2025-09-15,2025-09-19,Kigoma,maize,700
2025-09-15,2025-09-19,Kigoma,rice,2300
2025-09-15,2025-09-19,Kigoma,beans,1800
2025-09-15,2025-09-19,Kigoma,sorghum,1100
2025-09-15,2025-09-19,Kigoma,bulrush_millet,1100
2025-09-15,2025-09-19,Kigoma,finger_millet,1900
2025-09-15,2025-09-19,Kigoma,round_potato,900
2025-09-15,2025-09-19,Kilimanjaro,maize,700
2025-09-15,2025-09-19,Kilimanjaro,rice,2300
2025-09-15,2025-09-19,Kilimanjaro,beans,3000
2025-09-15,2025-09-19,Kilimanjaro,sorghum,
2025-09-15,2025-09-19,Kilimanjaro,bulrush_millet,
2025-09-15,2025-09-19,Kilimanjaro,finger_millet,
2025-09-15,2025-09-19,Kilimanjaro,round_potato,700
2025-09-15,2025-09-19,Lindi,maize,900
2025-09-15,2025-09-19,Lindi,rice,2700
2025-09-15,2025-09-19,Lindi,beans,2900
2025-09-15,2025-09-19,Lindi,sorghum,1800
2025-09-15,2025-09-19,Lindi,bulrush_millet,2900
2025-09-15,2025-09-19,Lindi,finger_millet,3000
2025-09-15,2025-09-19,Lindi,round_potato,800
2025-09-15,2025-09-19,Mara,maize,700
2025-09-15,2025-09-19,Mara,rice,2300
2025-09-15,2025-09-19,Mara,beans,1900
2025-09-15,2025-09-19,Mara,sorghum,1500
2025-09-15,2025-09-19,Mara,bulrush_millet,1500
2025-09-15,2025-09-19,Mara,finger_millet,2500
2025-09-15,2025-09-19,Mara,round_potato,1300
2025-09-15,2025-09-19,Morogoro,maize,
2025-09-15,2025-09-19,Morogoro,rice,
2025-09-15,2025-09-19,Morogoro,beans,
2025-09-15,2025-09-19,Morogoro,sorghum,
2025-09-15,2025-09-19,Morogoro,bulrush_millet,
2025-09-15,2025-09-19,Morogoro,finger_millet,
2025-09-15,2025-09-19,Morogoro,round_potato,
2025-09-15,2025-09-19,Mtwara,maize,700
2025-09-15,2025-09-19,Mtwara,rice,2400
2025-09-15,2025-09-19,Mtwara,beans,2300
2025-09-15,2025-09-19,Mtwara,sorghum,
2025-09-15,2025-09-19,Mtwara,bulrush_millet,
2025-09-15,2025-09-19,Mtwara,finger_millet,3500
2025-09-15,2025-09-19,Mtwara,round_potato,900
2025-09-15,2025-09-19,Mwanza,maize,900
2025-09-15,2025-09-19,Mwanza,rice,2600
2025-09-15,2025-09-19,Mwanza,beans,2300
2025-09-15,2025-09-19,Mwanza,sorghum,1400
2025-09-15,2025-09-19,Mwanza,bulrush_millet,1200
2025-09-15,2025-09-19,Mwanza,finger_millet,2300
2025-09-15,2025-09-19,Mwanza,round_potato,900
