week_start,week_end,region,crop,price
2025-04-14,2025-04-18,Arusha,maize,800
2025-04-14,2025-04-18,Arusha,rice,2900
2025-04-14,2025-04-18,Arusha,beans,2700
2025-04-14,2025-04-18,Arusha,sorghum,1300
2025-04-14,2025-04-18,Arusha,bulrush_millet,
2025-04-14,2025-04-18,Arusha,finger_millet,2300
2025-04-14,2025-04-18,Arusha,round_potato,900
2025-04-14,2025-04-18,Dar es Salaam,maize,1000
2025-04-14,2025-04-18,Dar es Salaam,rice,3000
2025-04-14,2025-04-18,Dar es Salaam,beans,3600
2025-04-14,2025-04-18,Dar es Salaam,sorghum,1300
2025-04-14,2025-04-18,Dar es Salaam,bulrush_millet,1100
2025-04-14,2025-04-18,Dar es Salaam,finger_millet,3100
2025-04-14,2025-04-18,Dar es Salaam,round_potato,1000
2025-04-14,2025-04-18,Dodoma,maize,800
2025-04-14,2025-04-18,Dodoma,rice,2900
2025-04-14,2025-04-18,Dodoma,beans,2900
2025-04-14,2025-04-18,Dodoma,sorghum,800
2025-04-14,2025-04-18,Dodoma,bulrush_millet,
2025-04-14,2025-04-18,Dodoma,finger_millet,2800
2025-04-14,2025-04-18,Dodoma,round_potato,1000
2025-04-14,2025-04-18,Geita,maize,800
2025-04-14,2025-04-18,Geita,rice,2200
2025-04-14,2025-04-18,Geita,beans,3100
2025-04-14,2025-04-18,Geita,sorghum,1600
2025-04-14,2025-04-18,Geita,bulrush_millet,
2025-04-14,2025-04-18,Geita,finger_millet,
2025-04-14,2025-04-18,Geita,round_potato,1100
2025-04-14,2025-04-18,Iringa,maize,800
2025-04-14,2025-04-18,Iringa,rice,2700
2025-04-14,2025-04-18,Iringa,beans,2800
2025-04-14,2025-04-18,Iringa,sorghum,1400
2025-04-14,2025-04-18,Iringa,bulrush_millet,
2025-04-14,2025-04-18,Iringa,finger_millet,
2025-04-14,2025-04-18,Iringa,round_potato,
2025-04-14,2025-04-18,Kagera,maize,800
2025-04-14,2025-04-18,Kagera,rice,2300
2025-04-14,2025-04-18,Kagera,beans,2300
2025-04-14,2025-04-18,Kagera,sorghum,1600
2025-04-14,2025-04-18,Kagera,bulrush_millet,1600
2025-04-14,2025-04-18,Kagera,finger_millet,
2025-04-14,2025-04-18,Kagera,round_potato,900
2025-04-14,2025-04-18,Katavi,maize,500
2025-04-14,2025-04-18,Katavi,rice,2200
2025-04-14,2025-04-18,Katavi,beans,2600
2025-04-14,2025-04-18,Katavi,sorghum,2500
2025-04-14,2025-04-18,Katavi,bulrush_millet,
2025-04-14,2025-04-18,Katavi,finger_millet,
2025-04-14,2025-04-18,Katavi,round_potato,1200
2025-04-14,2025-04-18,Kigoma,maize,500
2025-04-14,2025-04-18,Kigoma,rice,2500
2025-04-14,2025-04-18,Kigoma,beans,2600
2025-04-14,2025-04-18,Kigoma,sorghum,1900
2025-04-14,2025-04-18,Kigoma,bulrush_millet,2700
2025-04-14,2025-04-18,Kigoma,finger_millet,1900
2025-04-14,2025-04-18,Kigoma,round_potato,
2025-04-14,2025-04-18,Lindi,maize,1000
2025-04-14,2025-04-18,Lindi,rice,2800
2025-04-14,2025-04-18,Lindi,beans,3100
2025-04-14,2025-04-18,Lindi,sorghum,2800
2025-04-14,2025-04-18,Lindi,bulrush_millet,3000
2025-04-14,2025-04-18,Lindi,finger_millet,2800
2025-04-14,2025-04-18,Lindi,round_potato,1000
2025-04-14,2025-04-18,Mara,maize,800
2025-04-14,2025-04-18,Mara,rice,2200
2025-04-14,2025-04-18,Mara,beans,2400
2025-04-14,2025-04-18,Mara,sorghum,1800
2025-04-14,2025-04-18,Mara,bulrush_millet,1800
2025-04-14,2025-04-18,Mara,finger_millet,2700
2025-04-14,2025-04-18,Mara,round_potato,1300
2025-04-14,2025-04-18,Morogoro,maize,1000
2025-04-14,2025-04-18,Morogoro,rice,2300
2025-04-14,2025-04-18,Morogoro,beans,3200
2025-04-14,2025-04-18,Morogoro,sorghum,2000
2025-04-14,2025-04-18,Morogoro,bulrush_millet,
2025-04-14,2025-04-18,Morogoro,finger_millet,2500
2025-04-14,2025-04-18,Morogoro,round_potato,800
2025-04-14,2025-04-18,Mtwara,maize,900
2025-04-14,2025-04-18,Mtwara,rice,2400
2025-04-14,2025-04-18,Mtwara,beans,1600
2025-04-14,2025-04-18,Mtwara,sorghum,2300
2025-04-14,2025-04-18,Mtwara,bulrush_millet,4000
2025-04-14,2025-04-18,Mtwara,finger_millet,4000
2025-04-14,2025-04-18,Mtwara,round_potato,900
2025-04-14,2025-04-18,Mwanza,maize,900
2025-04-14,2025-04-18,Mwanza,rice,2500
2025-04-14,2025-04-18,Mwanza,beans,2800
2025-04-14,2025-04-18,Mwanza,sorghum,1500
2025-04-14,2025-04-18,Mwanza,bulrush_millet,1400
2025-04-14,2025-04-18,Mwanza,finger_millet,2500
2025-04-14,2025-04-18,Mwanza,round_potato,1100
2025-04-14,2025-04-18,National Average,maize,800
2025-04-14,2025-04-18,National Average,rice,2500
2025-04-14,2025-04-18,National Average,beans,2700
2025-04-14,2025-04-18,National Average,sorghum,1600
2025-04-14,2025-04-18,National Average,bulrush_millet,1900
2025-04-14,2025-04-18,National Average,finger_millet,2600
2025-04-14,2025-04-18,National Average,round_potato,1000
2025-04-14,2025-04-18,Njombe,maize,700
2025-04-14,2025-04-18,Njombe,rice,2400
2025-04-14,2025-04-18,Njombe,beans,2300
2025-04-14,2025-04-18,Njombe,sorghum,900
2025-04-14,2025-04-18,Njombe,bulrush_millet,
2025-04-14,2025-04-18,Njombe,finger_millet,2600
2025-04-14,2025-04-18,Njombe,round_potato,600
2025-04-14,2025-04-18,Pwani,maize,1500
2025-04-14,2025-04-18,Pwani,rice,2700
2025-04-14,2025-04-18,Pwani,beans,3100
2025-04-14,2025-04-18,Pwani,sorghum,1600
2025-04-14,2025-04-18,Pwani,bulrush_millet,1600
2025-04-14,2025-04-18,Pwani,finger_millet,3400
2025-04-14,2025-04-18,Pwani,round_potato,1000
2025-04-14,2025-04-18,Rukwa,maize,600
2025-04-14,2025-04-18,Rukwa,rice,2300
2025-04-14,2025-04-18,Rukwa,beans,2800
2025-04-14,2025-04-18,Rukwa,sorghum,
2025-04-14,2025-04-18,Rukwa,bulrush_millet,
2025-04-14,2025-04-18,Rukwa,finger_millet,2100
2025-04-14,2025-04-18,Rukwa,round_potato,800
2025-04-14,2025-04-18,Ruvuma,maize,800
2025-04-14,2025-04-18,Ruvuma,rice,2400
2025-04-14,2025-04-18,Ruvuma,beans,2700
2025-04-14,2025-04-18,Ruvuma,sorghum,
2025-04-14,2025-04-18,Ruvuma,bulrush_millet,
2025-04-14,2025-04-18,Ruvuma,finger_millet,
2025-04-14,2025-04-18,Ruvuma,round_potato,700
2025-04-14,2025-04-18,Shinyanga,maize,700
2025-04-14,2025-04-18,Shinyanga,rice,2000
2025-04-14,2025-04-18,Shinyanga,beans,2700
2025-04-14,2025-04-18,Shinyanga,sorghum,1400
2025-04-14,2025-04-18,Shinyanga,bulrush_millet,1000
2025-04-14,2025-04-18,Shinyanga,finger_millet,3000
2025-04-14,2025-04-18,Shinyanga,round_potato,
2025-04-14,2025-04-18,Simiyu,maize,800
2025-04-14,2025-04-18,Simiyu,rice,2200
2025-04-14,2025-04-18,Simiyu,beans,2900
2025-04-14,2025-04-18,Simiyu,sorghum,1900
2025-04-14,2025-04-18,Simiyu,bulrush_millet,1900
2025-04-14,2025-04-18,Simiyu,finger_millet,2700
2025-04-14,2025-04-18,Simiyu,round_potato,1500
2025-04-14,2025-04-18,Singida,maize,800
2025-04-14,2025-04-18,Singida,rice,2500
2025-04-14,2025-04-18,Singida,beans,2500
2025-04-14,2025-04-18,Singida,sorghum,900
2025-04-14,2025-04-18,Singida,bulrush_millet,1100
2025-04-14,2025-04-18,Singida,finger_millet,1200
2025-04-14,2025-04-18,Singida,round_potato,1000
2025-04-14,2025-04-18,Songwe,maize,900
2025-04-14,2025-04-18,Songwe,rice,2500
2025-04-14,2025-04-18,Songwe,beans,2400
2025-04-14,2025-04-18,Songwe,sorghum,
2025-04-14,2025-04-18,Songwe,bulrush_millet,
2025-04-14,2025-04-18,Songwe,finger_millet,
2025-04-14,2025-04-18,Songwe,round_potato,
2025-04-14,2025-04-18,Tabora,maize,800
2025-04-14,2025-04-18,Tabora,rice,2000
2025-04-14,2025-04-18,Tabora,beans,2600
2025-04-14,2025-04-18,Tabora,sorghum,
2025-04-14,2025-04-18,Tabora,bulrush_millet,
2025-04-14,2025-04-18,Tabora,finger_millet,2000
2025-04-14,2025-04-18,Tabora,round_potato,1000
