week_start,week_end,region,crop,price
2025-11-03,2025-11-07,Arusha,maize,700
2025-11-03,2025-11-07,Arusha,rice,2800
2025-11-03,2025-11-07,Arusha,beans,2100
2025-11-03,2025-11-07,Arusha,sorghum,1100
2025-11-03,2025-11-07,Arusha,bulrush_millet,
2025-11-03,2025-11-07,Arusha,finger_millet,1100
2025-11-03,2025-11-07,Arusha,round_potato,700
2025-11-03,2025-11-07,Dar es Salaam,maize,900
2025-11-03,2025-11-07,Dar es Salaam,rice,2500
2025-11-03,2025-11-07,Dar es Salaam,beans,3100
2025-11-03,2025-11-07,Dar es Salaam,sorghum,1200
2025-11-03,2025-11-07,Dar es Salaam,bulrush_millet,1200
2025-11-03,2025-11-07,Dar es Salaam,finger_millet,2500
2025-11-03,2025-11-07,Dar es Salaam,round_potato,1000
2025-11-03,2025-11-07,Dodoma,maize,700
2025-11-03,2025-11-07,Dodoma,rice,2900
2025-11-03,2025-11-07,Dodoma,beans,2600
2025-11-03,2025-11-07,Dodoma,sorghum,700
2025-11-03,2025-11-07,Dodoma,bulrush_millet,
2025-11-03,2025-11-07,Dodoma,finger_millet,
2025-11-03,2025-11-07,Dodoma,round_potato,1000
2025-11-03,2025-11-07,Geita,maize,1100
2025-11-03,2025-11-07,Geita,rice,2800
2025-11-03,2025-11-07,Geita,beans,3200
2025-11-03,2025-11-07,Geita,sorghum,1800
2025-11-03,2025-11-07,Geita,bulrush_millet,1900
2025-11-03,2025-11-07,Geita,finger_millet,1900
2025-11-03,2025-11-07,Geita,round_potato,1000
2025-11-03,2025-11-07,Iringa,maize,600
2025-11-03,2025-11-07,Iringa,rice,2500
2025-11-03,2025-11-07,Iringa,beans,2300
2025-11-03,2025-11-07,Iringa,sorghum,1400
2025-11-03,2025-11-07,Iringa,bulrush_millet,1600
2025-11-03,2025-11-07,Iringa,finger_millet,2300
2025-11-03,2025-11-07,Iringa,round_potato,600
2025-11-03,2025-11-07,Kagera,maize,900
2025-11-03,2025-11-07,Kagera,rice,2400
2025-11-03,2025-11-07,Kagera,beans,2200
2025-11-03,2025-11-07,Kagera,sorghum,1600
2025-11-03,2025-11-07,Kagera,bulrush_millet,1700
2025-11-03,2025-11-07,Kagera,finger_millet,2500
2025-11-03,2025-11-07,Kagera,round_potato,900
2025-11-03,2025-11-07,Lindi,maize,900
2025-11-03,2025-11-07,Lindi,rice,2800
2025-11-03,2025-11-07,Lindi,beans,3000
2025-11-03,2025-11-07,Lindi,sorghum,1800
2025-11-03,2025-11-07,Lindi,bulrush_millet,3000
2025-11-03,2025-11-07,Lindi,finger_millet,3300
2025-11-03,2025-11-07,Lindi,round_potato,800
2025-11-03,2025-11-07,Mara,maize,900
2025-11-03,2025-11-07,Mara,rice,2400
