week_start,week_end,region,crop,price
2025-05-26,2025-05-30,Arusha,maize,900
2025-05-26,2025-05-30,Arusha,rice,2900
2025-05-26,2025-05-30,Arusha,beans,2800
2025-05-26,2025-05-30,Arusha,sorghum,1300
2025-05-26,2025-05-30,Arusha,bulrush_millet,
2025-05-26,2025-05-30,Arusha,finger_millet,2200
2025-05-26,2025-05-30,Arusha,round_potato,800
2025-05-26,2025-05-30,Dar es Salaam,maize,1000
2025-05-26,2025-05-30,Dar es Salaam,rice,2500
2025-05-26,2025-05-30,Dar es Salaam,beans,3300
2025-05-26,2025-05-30,Dar es Salaam,sorghum,
2025-05-26,2025-05-30,Dar es Salaam,bulrush_millet,
2025-05-26,2025-05-30,Dar es Salaam,finger_millet,
2025-05-26,2025-05-30,Dar es Salaam,round_potato,700
2025-05-26,2025-05-30,Dodoma,maize,800
2025-05-26,2025-05-30,Dodoma,rice,2600
2025-05-26,2025-05-30,Dodoma,beans,
2025-05-26,2025-05-30,Dodoma,sorghum,
2025-05-26,2025-05-30,Dodoma,bulrush_millet,
2025-05-26,2025-05-30,Dodoma,finger_millet,
2025-05-26,2025-05-30,Dodoma,round_potato,
2025-05-26,2025-05-30,Geita,maize,700
2025-05-26,2025-05-30,Geita,rice,2400
2025-05-26,2025-05-30,Geita,beans,3000
2025-05-26,2025-05-30,Geita,sorghum,1500
2025-05-26,2025-05-30,Geita,bulrush_millet,
2025-05-26,2025-05-30,Geita,finger_millet,
2025-05-26,2025-05-30,Geita,round_potato,1100
2025-05-26,2025-05-30,Iringa,maize,800
2025-05-26,2025-05-30,Iringa,rice,2300
2025-05-26,2025-05-30,Iringa,beans,2500
2025-05-26,2025-05-30,Iringa,sorghum,1400
2025-05-26,2025-05-30,Iringa,bulrush_millet,1300
2025-05-26,2025-05-30,Iringa,finger_millet,3500
2025-05-26,2025-05-30,Iringa,round_potato,700
2025-05-26,2025-05-30,Kagera,maize,1000
2025-05-26,2025-05-30,Kagera,rice,2300
2025-05-26,2025-05-30,Kagera,beans,2400
2025-05-26,2025-05-30,Kagera,sorghum,1700
2025-05-26,2025-05-30,Kagera,bulrush_millet,1700
2025-05-26,2025-05-30,Kagera,finger_millet,2600
2025-05-26,2025-05-30,Kagera,round_potato,900
2025-05-26,2025-05-30,Katavi,maize,600
2025-05-26,2025-05-30,Katavi,rice,2100
2025-05-26,2025-05-30,Katavi,beans,2700
2025-05-26,2025-05-30,Katavi,sorghum,2200
2025-05-26,2025-05-30,Katavi,bulrush_millet,
2025-05-26,2025-05-30,Katavi,finger_millet,1400
2025-05-26,2025-05-30,Katavi,round_potato,1100
2025-05-26,2025-05-30,Kilimanjaro,maize,900
