week_start,week_end,region,crop,price
2026-03-30,2026-04-03,Arusha,maize,800
2026-03-30,2026-04-03,Arusha,rice,2900
2026-03-30,2026-04-03,Arusha,beans,2100
2026-03-30,2026-04-03,Arusha,sorghum,1300
2026-03-30,2026-04-03,Arusha,bulrush_millet,
2026-03-30,2026-04-03,Arusha,finger_millet,2400
2026-03-30,2026-04-03,Arusha,round_potato,900
2026-03-30,2026-04-03,Dar es Salaam,maize,1100
2026-03-30,2026-04-03,Dar es Salaam,rice,2900
2026-03-30,2026-04-03,Dar es Salaam,beans,2900
2026-03-30,2026-04-03,Dar es Salaam,sorghum,
2026-03-30,2026-04-03,Dar es Salaam,bulrush_millet,
2026-03-30,2026-04-03,Dar es Salaam,finger_millet,
2026-03-30,2026-04-03,Dar es Salaam,round_potato,700
2026-03-30,2026-04-03,Dodoma,maize,800
2026-03-30,2026-04-03,Dodoma,rice,3200
2026-03-30,2026-04-03,Dodoma,beans,2100
2026-03-30,2026-04-03,Dodoma,sorghum,800
2026-03-30,2026-04-03,Dodoma,bulrush_millet,1400
2026-03-30,2026-04-03,Dodoma,finger_millet,2200
2026-03-30,2026-04-03,Dodoma,round_potato,700
2026-03-30,2026-04-03,Geita,maize,1000
2026-03-30,2026-04-03,Geita,rice,2600
2026-03-30,2026-04-03,Geita,beans,2200
2026-03-30,2026-04-03,Geita,sorghum,2000
2026-03-30,2026-04-03,Geita,bulrush_millet,2200
2026-03-30,2026-04-03,Geita,finger_millet,2100
2026-03-30,2026-04-03,Geita,round_potato,1500
2026-03-30,2026-04-03,Iringa,maize,700
2026-03-30,2026-04-03,Iringa,rice,2800
2026-03-30,2026-04-03,Iringa,beans,2400
2026-03-30,2026-04-03,Iringa,sorghum,1800
2026-03-30,2026-04-03,Iringa,bulrush_millet,1900
2026-03-30,2026-04-03,Iringa,finger_millet,2400
2026-03-30,2026-04-03,Iringa,round_potato,600
2026-03-30,2026-04-03,Kagera,maize,800
2026-03-30,2026-04-03,Kagera,rice,2500
2026-03-30,2026-04-03,Kagera,beans,1900
2026-03-30,2026-04-03,Kagera,sorghum,1300
2026-03-30,2026-04-03,Kagera,bulrush_millet,1600
2026-03-30,2026-04-03,Kagera,finger_millet,2500
2026-03-30,2026-04-03,Kagera,round_potato,900
2026-03-30,2026-04-03,Katavi,maize,600
2026-03-30,2026-04-03,Katavi,rice,2100
2026-03-30,2026-04-03,Katavi,beans,2000
2026-03-30,2026-04-03,Katavi,sorghum,
2026-03-30,2026-04-03,Katavi,bulrush_millet,
2026-03-30,2026-04-03,Katavi,finger_millet,2000
