week_start,week_end,region,crop,price
2026-03-02,2026-03-06,Arusha,maize,800
2026-03-02,2026-03-06,Arusha,rice,2900
2026-03-02,2026-03-06,Arusha,beans,1600
2026-03-02,2026-03-06,Arusha,sorghum,1300
2026-03-02,2026-03-06,Arusha,bulrush_millet,
2026-03-02,2026-03-06,Arusha,finger_millet,1600
2026-03-02,2026-03-06,Arusha,round_potato,1200
2026-03-02,2026-03-06,Dar es Salaam,maize,1000
2026-03-02,2026-03-06,Dar es Salaam,rice,3000
2026-03-02,2026-03-06,Dar es Salaam,beans,2800
2026-03-02,2026-03-06,Dar es Salaam,sorghum,1400
2026-03-02,2026-03-06,Dar es Salaam,bulrush_millet,1300
2026-03-02,2026-03-06,Dar es Salaam,finger_millet,2300
2026-03-02,2026-03-06,Dar es Salaam,round_potato,800
2026-03-02,2026-03-06,Dodoma,maize,800
2026-03-02,2026-03-06,Dodoma,rice,3000
2026-03-02,2026-03-06,Dodoma,beans,2000
2026-03-02,2026-03-06,Dodoma,sorghum,900
2026-03-02,2026-03-06,Dodoma,bulrush_millet,1000
2026-03-02,2026-03-06,Dodoma,finger_millet,2700
2026-03-02,2026-03-06,Dodoma,round_potato,800
2026-03-02,2026-03-06,Geita,maize,1000
2026-03-02,2026-03-06,Geita,rice,2700
2026-03-02,2026-03-06,Geita,beans,2200
2026-03-02,2026-03-06,Geita,sorghum,2000
2026-03-02,2026-03-06,Geita,bulrush_millet,2500
2026-03-02,2026-03-06,Geita,finger_millet,2200
2026-03-02,2026-03-06,Geita,round_potato,1500
2026-03-02,2026-03-06,Iringa,maize,700
2026-03-02,2026-03-06,Iringa,rice,2800
2026-03-02,2026-03-06,Iringa,beans,2400
2026-03-02,2026-03-06,Iringa,sorghum,1800
2026-03-02,2026-03-06,Iringa,bulrush_millet,1900
2026-03-02,2026-03-06,Iringa,finger_millet,2400
2026-03-02,2026-03-06,Iringa,round_potato,700
2026-03-02,2026-03-06,Kagera,maize,800
2026-03-02,2026-03-06,Kagera,rice,2500
2026-03-02,2026-03-06,Kagera,beans,1900
2026-03-02,2026-03-06,Kagera,sorghum,1300
2026-03-02,2026-03-06,Kagera,bulrush_millet,1600
2026-03-02,2026-03-06,Kagera,finger_millet,2500
2026-03-02,2026-03-06,Kagera,round_potato,900
2026-03-02,2026-03-06,Kigoma,maize,700
2026-03-02,2026-03-06,Kigoma,rice,2600
2026-03-02,2026-03-06,Kigoma,beans,1600
2026-03-02,2026-03-06,Kigoma,sorghum,1100
2026-03-02,2026-03-06,Kigoma,bulrush_millet,1100
2026-03-02,2026-03-06,Kigoma,finger_millet,2300
2026-03-02,2026-03-06,Kigoma,round_potato,1400
2026-03-02,2026-03-06,Lindi,maize,1100
2026-03-02,2026-03-06,Lindi,rice,3000
2026-03-02,2026-03-06,Lindi,beans,2900
2026-03-02,2026-03-06,Lindi,sorghum,2300
2026-03-02,2026-03-06,Lindi,bulrush_millet,2900
2026-03-02,2026-03-06,Lindi,finger_millet,2600
2026-03-02,2026-03-06,Lindi,round_potato,1000
2026-03-02,2026-03-06,Manyara,maize,900
2026-03-02,2026-03-06,Manyara,rice,3000
2026-03-02,2026-03-06,Manyara,beans,2500
2026-03-02,2026-03-06,Manyara,sorghum,800
2026-03-02,2026-03-06,Manyara,bulrush_millet,
2026-03-02,2026-03-06,Manyara,finger_millet,
2026-03-02,2026-03-06,Manyara,round_potato,1200
2026-03-02,2026-03-06,Mara,maize,
2026-03-02,2026-03-06,Mara,rice,
2026-03-02,2026-03-06,Mara,beans,
2026-03-02,2026-03-06,Mara,sorghum,
2026-03-02,2026-03-06,Mara,bulrush_millet,
2026-03-02,2026-03-06,Mara,finger_millet,
2026-03-02,2026-03-06,Mara,round_potato,
2026-03-02,2026-03-06,Morogoro,maize,900
2026-03-02,2026-03-06,Morogoro,rice,3000
2026-03-02,2026-03-06,Morogoro,beans,2400
2026-03-02,2026-03-06,Morogoro,sorghum,1500
2026-03-02,2026-03-06,Morogoro,bulrush_millet,
2026-03-02,2026-03-06,Morogoro,finger_millet,1700
2026-03-02,2026-03-06,Morogoro,round_potato,800
2026-03-02,2026-03-06,Mtwara,maize,900
2026-03-02,2026-03-06,Mtwara,rice,2900
2026-03-02,2026-03-06,Mtwara,beans,2400
2026-03-02,2026-03-06,Mtwara,sorghum,2000
2026-03-02,2026-03-06,Mtwara,bulrush_millet,
2026-03-02,2026-03-06,Mtwara,finger_millet,
2026-03-02,2026-03-06,Mtwara,round_potato,900
2026-03-02,2026-03-06,Mwanza,maize,1000
2026-03-02,2026-03-06,Mwanza,rice,3000
2026-03-02,2026-03-06,Mwanza,beans,2200
2026-03-02,2026-03-06,Mwanza,sorghum,1800
2026-03-02,2026-03-06,Mwanza,bulrush_millet,1500
2026-03-02,2026-03-06,Mwanza,finger_millet,2400
2026-03-02,2026-03-06,Mwanza,round_potato,1300
2026-03-02,2026-03-06,National Average,maize,900
2026-03-02,2026-03-06,National Average,rice,2600
2026-03-02,2026-03-06,National Average,beans,2100
2026-03-02,2026-03-06,National Average,sorghum,1600
2026-03-02,2026-03-06,National Average,bulrush_millet,1700
2026-03-02,2026-03-06,National Average,finger_millet,2200
2026-03-02,2026-03-06,National Average,round_potato,1000
2026-03-02,2026-03-06,Njombe,maize,700
2026-03-02,2026-03-06,Njombe,rice,2900
2026-03-02,2026-03-06,Njombe,beans,1700
2026-03-02,2026-03-06,Njombe,sorghum,1200
2026-03-02,2026-03-06,Njombe,bulrush_millet,
2026-03-02,2026-03-06,Njombe,finger_millet,1900
2026-03-02,2026-03-06,Njombe,round_potato,700
2026-03-02,2026-03-06,Pwani,maize,1300
2026-03-02,2026-03-06,Pwani,rice,2800
2026-03-02,2026-03-06,Pwani,beans,2500
2026-03-02,2026-03-06,Pwani,sorghum,2000
2026-03-02,2026-03-06,Pwani,bulrush_millet,1900
2026-03-02,2026-03-06,Pwani,finger_millet,2900
2026-03-02,2026-03-06,Pwani,round_potato,1600
2026-03-02,2026-03-06,Rukwa,maize,700
2026-03-02,2026-03-06,Rukwa,rice,2700
2026-03-02,2026-03-06,Rukwa,beans,1600
2026-03-02,2026-03-06,Rukwa,sorghum,
2026-03-02,2026-03-06,Rukwa,bulrush_millet,
2026-03-02,2026-03-06,Rukwa,finger_millet,1200
2026-03-02,2026-03-06,Rukwa,round_potato,800
2026-03-02,2026-03-06,Ruvuma,maize,700
2026-03-02,2026-03-06,Ruvuma,rice,2700
2026-03-02,2026-03-06,Ruvuma,beans,2600
2026-03-02,2026-03-06,Ruvuma,sorghum,
2026-03-02,2026-03-06,Ruvuma,bulrush_millet,
2026-03-02,2026-03-06,Ruvuma,finger_millet,
2026-03-02,2026-03-06,Ruvuma,round_potato,700
2026-03-02,2026-03-06,Shinyanga,maize,900
2026-03-02,2026-03-06,Shinyanga,rice,2500
2026-03-02,2026-03-06,Shinyanga,beans,2000
2026-03-02,2026-03-06,Shinyanga,sorghum,1900
2026-03-02,2026-03-06,Shinyanga,bulrush_millet,1600
2026-03-02,2026-03-06,Shinyanga,finger_millet,2500
2026-03-02,2026-03-06,Shinyanga,round_potato,1100
2026-03-02,2026-03-06,Simiyu,maize,1000
2026-03-02,2026-03-06,Simiyu,rice,2600
2026-03-02,2026-03-06,Simiyu,beans,2900
2026-03-02,2026-03-06,Simiyu,sorghum,2300
2026-03-02,2026-03-06,Simiyu,bulrush_millet,2300
2026-03-02,2026-03-06,Simiyu,finger_millet,2900
2026-03-02,2026-03-06,Simiyu,round_potato,1500
2026-03-02,2026-03-06,Singida,maize,800
2026-03-02,2026-03-06,Singida,rice,2700
2026-03-02,2026-03-06,Singida,beans,2600
2026-03-02,2026-03-06,Singida,sorghum,1600
2026-03-02,2026-03-06,Singida,bulrush_millet,1600
2026-03-02,2026-03-06,Singida,finger_millet,1600
2026-03-02,2026-03-06,Singida,round_potato,
2026-03-02,2026-03-06,Songwe,maize,700
2026-03-02,2026-03-06,Songwe,rice,
2026-03-02,2026-03-06,Songwe,beans,1800
2026-03-02,2026-03-06,Songwe,sorghum,
2026-03-02,2026-03-06,Songwe,bulrush_millet,
2026-03-02,2026-03-06,Songwe,finger_millet,
2026-03-02,2026-03-06,Songwe,round_potato,
2026-03-02,2026-03-06,Tabora,maize,800
2026-03-02,2026-03-06,Tabora,rice,2600
2026-03-02,2026-03-06,Tabora,beans,2100
2026-03-02,2026-03-06,Tabora,sorghum,1900
2026-03-02,2026-03-06,Tabora,bulrush_millet,1800
2026-03-02,2026-03-06,Tabora,finger_millet,2200
2026-03-02,2026-03-06,Tabora,round_potato,1000
2026-03-02,2026-03-06,Tanga,maize,1000
2026-03-02,2026-03-06,Tanga,rice,3000
2026-03-02,2026-03-06,Tanga,beans,2600
2026-03-02,2026-03-06,Tanga,sorghum,2300
2026-03-02,2026-03-06,Tanga,bulrush_millet,2600
2026-03-02,2026-03-06,Tanga,finger_millet,3500
2026-03-02,2026-03-06,Tanga,round_potato,1400
