week_start,week_end,region,crop,price
2026-04-06,2026-04-10,Arusha,maize,800
2026-04-06,2026-04-10,Arusha,rice,2900
2026-04-06,2026-04-10,Arusha,beans,2100
2026-04-06,2026-04-10,Arusha,sorghum,1300
2026-04-06,2026-04-10,Arusha,bulrush_millet,
2026-04-06,2026-04-10,Arusha,finger_millet,2400
2026-04-06,2026-04-10,Arusha,round_potato,900
2026-04-06,2026-04-10,Dar es Salaam,maize,900
2026-04-06,2026-04-10,Dar es Salaam,rice,3000
2026-04-06,2026-04-10,Dar es Salaam,beans,2800
2026-04-06,2026-04-10,Dar es Salaam,sorghum,1300
2026-04-06,2026-04-10,Dar es Salaam,bulrush_millet,1200
2026-04-06,2026-04-10,Dar es Salaam,finger_millet,2300
2026-04-06,2026-04-10,Dar es Salaam,round_potato,900
2026-04-06,2026-04-10,Dodoma,maize,800
2026-04-06,2026-04-10,Dodoma,rice,3200
2026-04-06,2026-04-10,Dodoma,beans,2100
2026-04-06,2026-04-10,Dodoma,sorghum,800
2026-04-06,2026-04-10,Dodoma,bulrush_millet,1400
2026-04-06,2026-04-10,Dodoma,finger_millet,2200
2026-04-06,2026-04-10,Dodoma,round_potato,700
2026-04-06,2026-04-10,Geita,maize,1000
2026-04-06,2026-04-10,Geita,rice,2600
2026-04-06,2026-04-10,Geita,beans,2200
2026-04-06,2026-04-10,Geita,sorghum,2000
2026-04-06,2026-04-10,Geita,bulrush_millet,2200
2026-04-06,2026-04-10,Geita,finger_millet,2200
2026-04-06,2026-04-10,Geita,round_potato,1500
2026-04-06,2026-04-10,Iringa,maize,700
2026-04-06,2026-04-10,Iringa,rice,2800
2026-04-06,2026-04-10,Iringa,beans,2400
2026-04-06,2026-04-10,Iringa,sorghum,1800
2026-04-06,2026-04-10,Iringa,bulrush_millet,1900
2026-04-06,2026-04-10,Iringa,finger_millet,2400
2026-04-06,2026-04-10,Iringa,round_potato,600
2026-04-06,2026-04-10,Kagera,maize,900
2026-04-06,2026-04-10,Kagera,rice,2500
2026-04-06,2026-04-10,Kagera,beans,2000
2026-04-06,2026-04-10,Kagera,sorghum,1300
2026-04-06,2026-04-10,Kagera,bulrush_millet,1600
2026-04-06,2026-04-10,Kagera,finger_millet,2500
2026-04-06,2026-04-10,Kagera,round_potato,900
2026-04-06,2026-04-10,Katavi,maize,
2026-04-06,2026-04-10,Katavi,rice,
2026-04-06,2026-04-10,Katavi,beans,
2026-04-06,2026-04-10,Katavi,sorghum,
2026-04-06,2026-04-10,Katavi,bulrush_millet,
2026-04-06,2026-04-10,Katavi,finger_millet,
2026-04-06,2026-04-10,Katavi,round_potato,
2026-04-06,2026-04-10,Kigoma,maize,700
2026-04-06,2026-04-10,Kigoma,rice,2700
2026-04-06,2026-04-10,Kigoma,beans,1700
2026-04-06,2026-04-10,Kigoma,sorghum,1400
2026-04-06,2026-04-10,Kigoma,bulrush_millet,1400
