week_start,week_end,region,crop,price
2026-01-26,2026-01-30,Arusha,maize,800
2026-01-26,2026-01-30,Arusha,rice,3100
2026-01-26,2026-01-30,Arusha,beans,2100
2026-01-26,2026-01-30,Arusha,sorghum,1300
2026-01-26,2026-01-30,Arusha,bulrush_millet,
2026-01-26,2026-01-30,Arusha,finger_millet,2300
2026-01-26,2026-01-30,Arusha,round_potato,1300
2026-01-26,2026-01-30,Dar es Salaam,maize,1000
2026-01-26,2026-01-30,Dar es Salaam,rice,2900
2026-01-26,2026-01-30,Dar es Salaam,beans,2800
2026-01-26,2026-01-30,Dar es Salaam,sorghum,1300
2026-01-26,2026-01-30,Dar es Salaam,bulrush_millet,
2026-01-26,2026-01-30,Dar es Salaam,finger_millet,2300
2026-01-26,2026-01-30,Dar es Salaam,round_potato,1300
2026-01-26,2026-01-30,Dodoma,maize,900
2026-01-26,2026-01-30,Dodoma,rice,3200
2026-01-26,2026-01-30,Dodoma,beans,2200
2026-01-26,2026-01-30,Dodoma,sorghum,800
2026-01-26,2026-01-30,Dodoma,bulrush_millet,800
2026-01-26,2026-01-30,Dodoma,finger_millet,2700
2026-01-26,2026-01-30,Dodoma,round_potato,1400
2026-01-26,2026-01-30,Geita,maize,1200
2026-01-26,2026-01-30,Geita,rice,3000
2026-01-26,2026-01-30,Geita,beans,2200
2026-01-26,2026-01-30,Geita,sorghum,2000
2026-01-26,2026-01-30,Geita,bulrush_millet,2200
2026-01-26,2026-01-30,Geita,finger_millet,2200
2026-01-26,2026-01-30,Geita,round_potato,1700
2026-01-26,2026-01-30,Iringa,maize,800
2026-01-26,2026-01-30,Iringa,rice,2800
2026-01-26,2026-01-30,Iringa,beans,2400
2026-01-26,2026-01-30,Iringa,sorghum,1900
2026-01-26,2026-01-30,Iringa,bulrush_millet,1900
2026-01-26,2026-01-30,Iringa,finger_millet,2800
2026-01-26,2026-01-30,Iringa,round_potato,1300
2026-01-26,2026-01-30,Kagera,maize,900
2026-01-26,2026-01-30,Kagera,rice,2400
2026-01-26,2026-01-30,Kagera,beans,2000
2026-01-26,2026-01-30,Kagera,sorghum,1700
2026-01-26,2026-01-30,Kagera,bulrush_millet,1700
2026-01-26,2026-01-30,Kagera,finger_millet,2800
2026-01-26,2026-01-30,Kagera,round_potato,800
2026-01-26,2026-01-30,Katavi,maize,700
2026-01-26,2026-01-30,Katavi,rice,2400
2026-01-26,2026-01-30,Katavi,beans,2200
2026-01-26,2026-01-30,Katavi,sorghum,2500
2026-01-26,2026-01-30,Katavi,bulrush_millet,
2026-01-26,2026-01-30,Katavi,finger_millet,2300
2026-01-26,2026-01-30,Katavi,round_potato,1300
2026-01-26,2026-01-30,Lindi,maize,1000
2026-01-26,2026-01-30,Lindi,rice,3000
2026-01-26,2026-01-30,Lindi,beans,3200
2026-01-26,2026-01-30,Lindi,sorghum,2300
2026-01-26,2026-01-30,Lindi,bulrush_millet,3000
2026-01-26,2026-01-30,Lindi,finger_millet,3500
2026-01-26,2026-01-30,Lindi,round_potato,1200
2026-01-26,2026-01-30,Mara,maize,900
2026-01-26,2026-01-30,Mara,rice,2900
2026-01-26,2026-01-30,Mara,beans,2300
2026-01-26,2026-01-30,Mara,sorghum,1600
2026-01-26,2026-01-30,Mara,bulrush_millet,1200
2026-01-26,2026-01-30,Mara,finger_millet,2400
2026-01-26,2026-01-30,Mara,round_potato,1400
2026-01-26,2026-01-30,Morogoro,maize,1100
2026-01-26,2026-01-30,Morogoro,rice,2700
2026-01-26,2026-01-30,Morogoro,beans,2600
2026-01-26,2026-01-30,Morogoro,sorghum,2100
2026-01-26,2026-01-30,Morogoro,bulrush_millet,
2026-01-26,2026-01-30,Morogoro,finger_millet,2200
2026-01-26,2026-01-30,Morogoro,round_potato,1800
2026-01-26,2026-01-30,Mtwara,maize,900
2026-01-26,2026-01-30,Mtwara,rice,2800
2026-01-26,2026-01-30,Mtwara,beans,2200
2026-01-26,2026-01-30,Mtwara,sorghum,2000
