week_start,week_end,region,crop,price
2026-06-15,2026-06-19,Arusha,maize,600
2026-06-15,2026-06-19,Arusha,rice,3100
2026-06-15,2026-06-19,Arusha,beans,1900
2026-06-15,2026-06-19,Arusha,sorghum,1300
2026-06-15,2026-06-19,Arusha,bulrush_millet,
2026-06-15,2026-06-19,Arusha,finger_millet,2300
2026-06-15,2026-06-19,Arusha,round_potato,1000
2026-06-15,2026-06-19,Dar es Salaam,maize,700
2026-06-15,2026-06-19,Dar es Salaam,rice,2600
2026-06-15,2026-06-19,Dar es Salaam,beans,2500
2026-06-15,2026-06-19,Dar es Salaam,sorghum,1200
2026-06-15,2026-06-19,Dar es Salaam,bulrush_millet,1200
2026-06-15,2026-06-19,Dar es Salaam,finger_millet,1900
2026-06-15,2026-06-19,Dar es Salaam,round_potato,
2026-06-15,2026-06-19,Dodoma,maize,600
2026-06-15,2026-06-19,Dodoma,rice,2600
2026-06-15,2026-06-19,Dodoma,beans,2300
2026-06-15,2026-06-19,Dodoma,sorghum,500
2026-06-15,2026-06-19,Dodoma,bulrush_millet,1300
2026-06-15,2026-06-19,Dodoma,finger_millet,1900
2026-06-15,2026-06-19,Dodoma,round_potato,900
2026-06-15,2026-06-19,Geita,maize,1000
2026-06-15,2026-06-19,Geita,rice,2000
2026-06-15,2026-06-19,Geita,beans,2200
2026-06-15,2026-06-19,Geita,sorghum,2000
2026-06-15,2026-06-19,Geita,bulrush_millet,2200
2026-06-15,2026-06-19,Geita,finger_millet,2100
2026-06-15,2026-06-19,Geita,round_potato,1100
2026-06-15,2026-06-19,Iringa,maize,400
2026-06-15,2026-06-19,Iringa,rice,2300
2026-06-15,2026-06-19,Iringa,beans,2200
2026-06-15,2026-06-19,Iringa,sorghum,1800
2026-06-15,2026-06-19,Iringa,bulrush_millet,1900
2026-06-15,2026-06-19,Iringa,finger_millet,2300
2026-06-15,2026-06-19,Iringa,round_potato,900
2026-06-15,2026-06-19,Kagera,maize,800
2026-06-15,2026-06-19,Kagera,rice,2200
2026-06-15,2026-06-19,Kagera,beans,2000
2026-06-15,2026-06-19,Kagera,sorghum,1400
2026-06-15,2026-06-19,Kagera,bulrush_millet,1500
2026-06-15,2026-06-19,Kagera,finger_millet,2600
2026-06-15,2026-06-19,Kagera,round_potato,900
2026-06-15,2026-06-19,Lindi,maize,
2026-06-15,2026-06-19,Lindi,rice,
2026-06-15,2026-06-19,Lindi,beans,
2026-06-15,2026-06-19,Lindi,sorghum,
2026-06-15,2026-06-19,Lindi,bulrush_millet,
2026-06-15,2026-06-19,Lindi,finger_millet,
2026-06-15,2026-06-19,Lindi,round_potato,
2026-06-15,2026-06-19,Manyara,maize,700
2026-06-15,2026-06-19,Manyara,rice,2600
2026-06-15,2026-06-19,Manyara,beans,2700
2026-06-15,2026-06-19,Manyara,sorghum,
2026-06-15,2026-06-19,Manyara,bulrush_millet,2000
2026-06-15,2026-06-19,Manyara,finger_millet,2300
2026-06-15,2026-06-19,Manyara,round_potato,
2026-06-15,2026-06-19,Mara,maize,700
2026-06-15,2026-06-19,Mara,rice,1700
2026-06-15,2026-06-19,Mara,beans,1700
2026-06-15,2026-06-19,Mara,sorghum,1500
2026-06-15,2026-06-19,Mara,bulrush_millet,1400
2026-06-15,2026-06-19,Mara,finger_millet,2000
2026-06-15,2026-06-19,Mara,round_potato,
2026-06-15,2026-06-19,Mbeya,maize,500
2026-06-15,2026-06-19,Mbeya,rice,2100
2026-06-15,2026-06-19,Mbeya,beans,1900
2026-06-15,2026-06-19,Mbeya,sorghum,1400
2026-06-15,2026-06-19,Mbeya,bulrush_millet,
2026-06-15,2026-06-19,Mbeya,finger_millet,2100
2026-06-15,2026-06-19,Mbeya,round_potato,
2026-06-15,2026-06-19,Morogoro,maize,600
2026-06-15,2026-06-19,Morogoro,rice,2000
2026-06-15,2026-06-19,Morogoro,beans,2400
2026-06-15,2026-06-19,Morogoro,sorghum,1500
2026-06-15,2026-06-19,Morogoro,bulrush_millet,
2026-06-15,2026-06-19,Morogoro,finger_millet,1700
2026-06-15,2026-06-19,Morogoro,round_potato,1200
2026-06-15,2026-06-19,Mtwara,maize,600
2026-06-15,2026-06-19,Mtwara,rice,2600
2026-06-15,2026-06-19,Mtwara,beans,2200
2026-06-15,2026-06-19,Mtwara,sorghum,2000
2026-06-15,2026-06-19,Mtwara,bulrush_millet,
2026-06-15,2026-06-19,Mtwara,finger_millet,3500
2026-06-15,2026-06-19,Mtwara,round_potato,1200
