week_start,week_end,region,crop,price
2026-06-22,2026-06-26,Arusha,maize,600
2026-06-22,2026-06-26,Arusha,rice,3100
2026-06-22,2026-06-26,Arusha,beans,1900
2026-06-22,2026-06-26,Arusha,sorghum,1300
2026-06-22,2026-06-26,Arusha,bulrush_millet,
2026-06-22,2026-06-26,Arusha,finger_millet,2300
2026-06-22,2026-06-26,Arusha,round_potato,1000
2026-06-22,2026-06-26,Dar es Salaam,maize,
2026-06-22,2026-06-26,Dar es Salaam,rice,2600
2026-06-22,2026-06-26,Dar es Salaam,beans,2700
2026-06-22,2026-06-26,Dar es Salaam,sorghum,1300
2026-06-22,2026-06-26,Dar es Salaam,bulrush_millet,
2026-06-22,2026-06-26,Dar es Salaam,finger_millet,
2026-06-22,2026-06-26,Dar es Salaam,round_potato,1100
2026-06-22,2026-06-26,Dodoma,maize,700
2026-06-22,2026-06-26,Dodoma,rice,2400
2026-06-22,2026-06-26,Dodoma,beans,2300
2026-06-22,2026-06-26,Dodoma,sorghum,
2026-06-22,2026-06-26,Dodoma,bulrush_millet,1000
2026-06-22,2026-06-26,Dodoma,finger_millet,2100
2026-06-22,2026-06-26,Dodoma,round_potato,1200
2026-06-22,2026-06-26,Geita,maize,1000
2026-06-22,2026-06-26,Geita,rice,1900
2026-06-22,2026-06-26,Geita,beans,2200
2026-06-22,2026-06-26,Geita,sorghum,1900
2026-06-22,2026-06-26,Geita,bulrush_millet,2400
2026-06-22,2026-06-26,Geita,finger_millet,2100
2026-06-22,2026-06-26,Geita,round_potato,1100
2026-06-22,2026-06-26,Iringa,maize,500
2026-06-22,2026-06-26,Iringa,rice,2300
2026-06-22,2026-06-26,Iringa,beans,2200
2026-06-22,2026-06-26,Iringa,sorghum,1700
2026-06-22,2026-06-26,Iringa,bulrush_millet,1900
2026-06-22,2026-06-26,Iringa,finger_millet,2300
2026-06-22,2026-06-26,Iringa,round_potato,1000
2026-06-22,2026-06-26,Kagera,maize,800
2026-06-22,2026-06-26,Kagera,rice,2200
2026-06-22,2026-06-26,Kagera,beans,1800
2026-06-22,2026-06-26,Kagera,sorghum,1500
2026-06-22,2026-06-26,Kagera,bulrush_millet,1500
2026-06-22,2026-06-26,Kagera,finger_millet,2500
2026-06-22,2026-06-26,Kagera,round_potato,800
2026-06-22,2026-06-26,Lindi,maize,800
2026-06-22,2026-06-26,Lindi,rice,2400
2026-06-22,2026-06-26,Lindi,beans,2300
2026-06-22,2026-06-26,Lindi,sorghum,2300
2026-06-22,2026-06-26,Lindi,bulrush_millet,2800
2026-06-22,2026-06-26,Lindi,finger_millet,2800
2026-06-22,2026-06-26,Lindi,round_potato,1400
2026-06-22,2026-06-26,Manyara,maize,500
2026-06-22,2026-06-26,Manyara,rice,2500
2026-06-22,2026-06-26,Manyara,beans,2300
2026-06-22,2026-06-26,Manyara,sorghum,1100
2026-06-22,2026-06-26,Manyara,bulrush_millet,2000
2026-06-22,2026-06-26,Manyara,finger_millet,2000
2026-06-22,2026-06-26,Manyara,round_potato,
2026-06-22,2026-06-26,Mara,maize,700
2026-06-22,2026-06-26,Mara,rice,1700
2026-06-22,2026-06-26,Mara,beans,1800
2026-06-22,2026-06-26,Mara,sorghum,1500
2026-06-22,2026-06-26,Mara,bulrush_millet,1500
2026-06-22,2026-06-26,Mara,finger_millet,2000
2026-06-22,2026-06-26,Mara,round_potato,1300
2026-06-22,2026-06-26,Mbeya,maize,
2026-06-22,2026-06-26,Mbeya,rice,
2026-06-22,2026-06-26,Mbeya,beans,
2026-06-22,2026-06-26,Mbeya,sorghum,
2026-06-22,2026-06-26,Mbeya,bulrush_millet,
2026-06-22,2026-06-26,Mbeya,finger_millet,
2026-06-22,2026-06-26,Mbeya,round_potato,
2026-06-22,2026-06-26,Morogoro,maize,410
2026-06-22,2026-06-26,Morogoro,rice,2000
2026-06-22,2026-06-26,Morogoro,beans,2100
2026-06-22,2026-06-26,Morogoro,sorghum,1500
2026-06-22,2026-06-26,Morogoro,bulrush_millet,
2026-06-22,2026-06-26,Morogoro,finger_millet,1700
2026-06-22,2026-06-26,Morogoro,round_potato,1200
2026-06-22,2026-06-26,Mtwara,maize,600
2026-06-22,2026-06-26,Mtwara,rice,2200
2026-06-22,2026-06-26,Mtwara,beans,2200
2026-06-22,2026-06-26,Mtwara,sorghum,2000
2026-06-22,2026-06-26,Mtwara,bulrush_millet,
2026-06-22,2026-06-26,Mtwara,finger_millet,3500
2026-06-22,2026-06-26,Mtwara,round_potato,1200
2026-06-22,2026-06-26,Mwanza,maize,
2026-06-22,2026-06-26,Mwanza,rice,2000
2026-06-22,2026-06-26,Mwanza,beans,1800
2026-06-22,2026-06-26,Mwanza,sorghum,
2026-06-22,2026-06-26,Mwanza,bulrush_millet,1300
2026-06-22,2026-06-26,Mwanza,finger_millet,1800
2026-06-22,2026-06-26,Mwanza,round_potato,1000
2026-06-22,2026-06-26,National Average,maize,600
2026-06-22,2026-06-26,National Average,rice,2100
2026-06-22,2026-06-26,National Average,beans,2000
2026-06-22,2026-06-26,National Average,sorghum,1500
2026-06-22,2026-06-26,National Average,bulrush_millet,1600
2026-06-22,2026-06-26,National Average,finger_millet,2100
2026-06-22,2026-06-26,National Average,round_potato,1000
2026-06-22,2026-06-26,Njombe,maize,400
2026-06-22,2026-06-26,Njombe,rice,2400
2026-06-22,2026-06-26,Njombe,beans,1600
2026-06-22,2026-06-26,Njombe,sorghum,
2026-06-22,2026-06-26,Njombe,bulrush_millet,
2026-06-22,2026-06-26,Njombe,finger_millet,1600
2026-06-22,2026-06-26,Njombe,round_potato,1000
2026-06-22,2026-06-26,Rukwa,maize,500
2026-06-22,2026-06-26,Rukwa,rice,2100
2026-06-22,2026-06-26,Rukwa,beans,2000
2026-06-22,2026-06-26,Rukwa,sorghum,
2026-06-22,2026-06-26,Rukwa,bulrush_millet,
2026-06-22,2026-06-26,Rukwa,finger_millet,800
2026-06-22,2026-06-26,Rukwa,round_potato,900
2026-06-22,2026-06-26,Ruvuma,maize,500
2026-06-22,2026-06-26,Ruvuma,rice,2100
2026-06-22,2026-06-26,Ruvuma,beans,1900
2026-06-22,2026-06-26,Ruvuma,sorghum,
2026-06-22,2026-06-26,Ruvuma,bulrush_millet,
2026-06-22,2026-06-26,Ruvuma,finger_millet,
2026-06-22,2026-06-26,Ruvuma,round_potato,700
2026-06-22,2026-06-26,Shinyanga,maize,700
2026-06-22,2026-06-26,Shinyanga,rice,1900
2026-06-22,2026-06-26,Shinyanga,beans,2000
2026-06-22,2026-06-26,Shinyanga,sorghum,1500
2026-06-22,2026-06-26,Shinyanga,bulrush_millet,1500
2026-06-22,2026-06-26,Shinyanga,finger_millet,2400
2026-06-22,2026-06-26,Shinyanga,round_potato,1000
2026-06-22,2026-06-26,Simiyu,maize,800
2026-06-22,2026-06-26,Simiyu,rice,2200
2026-06-22,2026-06-26,Simiyu,beans,2900
2026-06-22,2026-06-26,Simiyu,sorghum,2300
2026-06-22,2026-06-26,Simiyu,bulrush_millet,2300
2026-06-22,2026-06-26,Simiyu,finger_millet,2900
2026-06-22,2026-06-26,Simiyu,round_potato,1500
2026-06-22,2026-06-26,Singida,maize,
2026-06-22,2026-06-26,Singida,rice,
2026-06-22,2026-06-26,Singida,beans,
2026-06-22,2026-06-26,Singida,sorghum,
2026-06-22,2026-06-26,Singida,bulrush_millet,
2026-06-22,2026-06-26,Singida,finger_millet,
2026-06-22,2026-06-26,Singida,round_potato,
2026-06-22,2026-06-26,Songwe,maize,400
2026-06-22,2026-06-26,Songwe,rice,1800
2026-06-22,2026-06-26,Songwe,beans,1700
2026-06-22,2026-06-26,Songwe,sorghum,
2026-06-22,2026-06-26,Songwe,bulrush_millet,
2026-06-22,2026-06-26,Songwe,finger_millet,
2026-06-22,2026-06-26,Songwe,round_potato,
2026-06-22,2026-06-26,Tabora,maize,600
2026-06-22,2026-06-26,Tabora,rice,2100
2026-06-22,2026-06-26,Tabora,beans,2200
2026-06-22,2026-06-26,Tabora,sorghum,1900
2026-06-22,2026-06-26,Tabora,bulrush_millet,1800
2026-06-22,2026-06-26,Tabora,finger_millet,2000
2026-06-22,2026-06-26,Tabora,round_potato,1200
2026-06-22,2026-06-26,Tanga,maize,600
2026-06-22,2026-06-26,Tanga,rice,2400
2026-06-22,2026-06-26,Tanga,beans,1800
2026-06-22,2026-06-26,Tanga,sorghum,1200
2026-06-22,2026-06-26,Tanga,bulrush_millet,1000
2026-06-22,2026-06-26,Tanga,finger_millet,2000
2026-06-22,2026-06-26,Tanga,round_potato,1100
