week_start,week_end,region,crop,price
2024-12-23,2024-12-27,Arusha,maize,600
2024-12-23,2024-12-27,Arusha,rice,3000
2024-12-23,2024-12-27,Arusha,beans,2700
2024-12-23,2024-12-27,Arusha,sorghum,1000
2024-12-23,2024-12-27,Arusha,bulrush_millet,
2024-12-23,2024-12-27,Arusha,finger_millet,1700
2024-12-23,2024-12-27,Arusha,round_potato,1000
2024-12-23,2024-12-27,Dar es Salaam,maize,
2024-12-23,2024-12-27,Dar es Salaam,rice,
2024-12-23,2024-12-27,Dar es Salaam,beans,
2024-12-23,2024-12-27,Dar es Salaam,sorghum,
2024-12-23,2024-12-27,Dar es Salaam,bulrush_millet,
2024-12-23,2024-12-27,Dar es Salaam,finger_millet,
2024-12-23,2024-12-27,Dar es Salaam,round_potato,
2024-12-23,2024-12-27,Geita,maize,
2024-12-23,2024-12-27,Geita,rice,
2024-12-23,2024-12-27,Geita,beans,
2024-12-23,2024-12-27,Geita,sorghum,
2024-12-23,2024-12-27,Geita,bulrush_millet,
2024-12-23,2024-12-27,Geita,finger_millet,
2024-12-23,2024-12-27,Geita,round_potato,
2024-12-23,2024-12-27,Iringa,maize,700
2024-12-23,2024-12-27,Iringa,rice,2100
2024-12-23,2024-12-27,Iringa,beans,2900
2024-12-23,2024-12-27,Iringa,sorghum,1400
2024-12-23,2024-12-27,Iringa,bulrush_millet,1400
2024-12-23,2024-12-27,Iringa,finger_millet,2300
2024-12-23,2024-12-27,Iringa,round_potato,700
2024-12-23,2024-12-27,Kagera,maize,900
2024-12-23,2024-12-27,Kagera,rice,2200
2024-12-23,2024-12-27,Kagera,beans,2200
2024-12-23,2024-12-27,Kagera,sorghum,1500
2024-12-23,2024-12-27,Kagera,bulrush_millet,1500
2024-12-23,2024-12-27,Kagera,finger_millet,2600
2024-12-23,2024-12-27,Kagera,round_potato,900
2024-12-23,2024-12-27,Katavi,maize,
2024-12-23,2024-12-27,Katavi,rice,
2024-12-23,2024-12-27,Katavi,beans,
